,pace_lap,num_laps,num_stints,overall_speed,GridPosition,Position,points finish?,finish?,top six finish?,places made
RUS_2021_Abu Dhabi,-0.37316356607290413,-1.5519759190998386,-1.224115344302251,-0.10121213115682207,17.0,18.0,0,0,0,-1.0
RIC_2022_Abu Dhabi,0.4521192226970409,0.17844551182509025,0.9352489848521846,0.25058208316155184,13.0,9.0,1,1,0,4.0
BOT_2022_Abu Dhabi,0.10703706521378928,1.0380539988964932,0.3896870770217436,-0.5469983931070028,18.0,15.0,0,1,0,3.0
RUS_2022_Abu Dhabi,0.9889074537589729,1.1992305902223812,0.9352489848521846,1.248814663770454,6.0,5.0,1,1,1,1.0
HAM_2022_Abu Dhabi,1.2464984607223428,0.7157008162447172,2.0263728005130663,0.8640524261347706,5.0,18.0,0,0,0,-13.0
OCO_2022_Abu Dhabi,0.8026674721231039,1.1992305902223812,0.6624680309369642,-0.29370221484949954,8.0,7.0,1,1,0,1.0
ALB_2022_Abu Dhabi,0.5218427664924498,1.1455050597804186,0.9352489848521846,0.028791095756036833,19.0,13.0,0,1,0,6.0
TSU_2022_Abu Dhabi,0.36304548690561944,1.4678582424321946,0.6624680309369642,0.5437411184003986,11.0,11.0,0,1,0,0.0
MAG_2022_Abu Dhabi,0.093399894256905,0.8768774075706052,0.6624680309369642,-0.1612970942887501,16.0,17.0,0,1,0,-1.0
LEC_2022_Abu Dhabi,0.9374902684474611,1.414132711990232,1.4808108926826256,0.6596544257022273,3.0,2.0,1,1,1,1.0
PER_2022_Abu Dhabi,1.2747829634477323,0.7694263466866799,0.9352489848521846,-0.6293631040718477,2.0,3.0,1,1,1,-1.0
GAS_2022_Abu Dhabi,0.32214519826846477,1.0380539988964932,0.6624680309369642,0.7695153512507124,17.0,14.0,0,1,0,3.0
VET_2022_Abu Dhabi,0.7749217218305788,0.6082497553607917,0.6624680309369642,-0.0920919107898151,9.0,10.0,1,1,0,-1.0
VER_2022_Abu Dhabi,1.325122643893515,-0.5199863839204247,-0.42865578472391785,1.241441394505308,1.0,1.0,1,1,1,0.0
SAI_2022_Abu Dhabi,0.43496893669303877,0.28589657270901564,0.3896870770217436,0.2799472175371262,4.0,4.0,1,1,1,0.0
MSC_2022_Abu Dhabi,-0.332382887841371,-0.19763320126864856,-0.42865578472391785,-0.4589318390008681,12.0,16.0,0,1,0,-4.0
ZHO_2022_Abu Dhabi,-0.07778869128581031,-0.09018214038472319,-0.42865578472391785,-0.7318993278946366,15.0,12.0,0,1,0,3.0
STR_2022_Abu Dhabi,0.26692307389984693,-0.09018214038472319,-0.15587483080869735,0.4253491450555544,14.0,8.0,1,1,0,6.0
ALO_2022_Abu Dhabi,0.6340042886094412,-0.09018214038472319,0.11690612310652314,0.15092653489323796,10.0,20.0,0,0,0,-10.0
LAT_2022_Abu Dhabi,0.30772234645583946,-0.25135873171061124,-0.42865578472391785,0.7846659164121472,20.0,19.0,0,0,0,1.0
NOR_2022_Abu Dhabi,0.7210464785441224,-0.25135873171061124,0.6624680309369642,-0.7572903997794219,7.0,6.0,1,1,1,1.0
VAN_2018_Australia,-0.470218574318,-0.6338095373880542,0.7048843342607299,-0.5774492666020171,11.0,9.0,1,1,0,2.0
HAM_2018_Australia,1.507218549046642,-0.24176240085936102,-0.9868380679650219,-0.22533243445774628,1.0,2.0,1,1,1,-1.0
SIR_2018_Australia,-0.37175230005747717,1.326426145255412,0.140976866852146,-0.55850939433699,19.0,20.0,0,0,0,-1.0
VER_2018_Australia,1.3785589549899864,0.15028473566933223,-0.9868380679650219,-0.2804633883028205,4.0,6.0,1,1,1,-2.0
OCO_2018_Australia,-0.2798204009767144,-0.5031271585451565,-0.9868380679650219,0.24323769096187334,14.0,12.0,0,1,0,2.0
HAR_2018_Australia,-0.9523138306782438,0.15028473566933223,0.7048843342607299,-0.087151321238646,16.0,15.0,0,1,0,1.0
HUL_2018_Australia,-0.9572924017716694,-0.11108002201646328,-0.422930600556438,-1.1925484032042903,7.0,7.0,1,1,0,0.0
MAG_2018_Australia,-0.5215472179714259,-2.2019980835028274,-0.9868380679650219,1.1877565776469199,5.0,17.0,0,0,0,-12.0
STR_2018_Australia,0.13815428724587114,0.28096711451223,0.140976866852146,-0.17058856229158725,13.0,14.0,0,1,0,-1.0
LEC_2018_Australia,-1.5201800040644173,1.0650613875696164,0.140976866852146,-0.24712533935933262,18.0,13.0,0,1,0,5.0
ALO_2018_Australia,0.5256352249300074,-1.809950946974134,0.140976866852146,0.23453643851598338,10.0,5.0,1,1,1,5.0
PER_2018_Australia,-0.03624593306910525,-1.5485861892883386,-1.550745535373606,0.8415290421658106,12.0,11.0,0,1,0,1.0
GAS_2018_Australia,-0.22952824442076775,1.4571085240983097,0.7048843342607299,-1.0791990233621478,20.0,18.0,0,0,0,2.0
ERI_2018_Australia,-2.3687603592773243,0.6730142510409233,0.140976866852146,0.32089400462785,17.0,19.0,0,0,0,-2.0
GRO_2018_Australia,0.2634340320716165,-0.5031271585451565,-0.9868380679650219,1.2565973410479159,6.0,16.0,0,0,0,-10.0
RAI_2018_Australia,1.0732008431413351,0.9343790087267188,2.396606736486482,1.0156066332830609,2.0,3.0,1,1,1,-1.0
VET_2018_Australia,0.6764516080888668,0.9343790087267188,1.832699269077898,0.9855651683140043,3.0,1.0,1,1,1,2.0
RIC_2018_Australia,0.5253948797953782,0.019602356826434478,-0.422930600556438,-1.208832319557892,8.0,4.0,1,1,1,4.0
SAI_2018_Australia,0.1944851077610444,0.28096711451223,0.7048843342607299,-0.5107708991080994,9.0,10.0,1,1,0,-1.0
BOT_2018_Australia,1.4251257669162938,0.28096711451223,-0.422930600556438,0.052247455258192854,15.0,8.0,1,1,0,7.0
RIC_2019_Australia,0.09055608584162217,-1.4918180512780237,0.13263707095903643,0.261294267551055,12.0,19.0,0,0,0,-7.0
BOT_2019_Australia,1.2864583951402377,1.149943081193478,-1.1937336386313326,-1.3499512467688022,2.0,1.0,1,1,1,1.0
RUS_2019_Australia,-2.2271015662742095,0.06215908546991857,0.13263707095903643,-0.22482298747528287,19.0,16.0,0,1,0,3.0
SAI_2019_Australia,-0.39758876930256165,-1.1810226239284352,1.4590077805494055,1.3282168647673012,18.0,20.0,0,0,0,-2.0
HAM_2019_Australia,1.4203407843015916,-0.24863634187966988,-1.1937336386313326,-0.6100776665469367,1.0,2.0,1,1,1,-1.0
VER_2019_Australia,0.10262255594756585,0.5283522264943012,-0.530548283836148,-0.2588635199293845,4.0,3.0,1,1,1,1.0
HUL_2019_Australia,0.3520531217418079,-1.3364203376032295,-1.8569189934265171,-0.4899097254120506,11.0,7.0,1,1,0,4.0
KVY_2019_Australia,0.32267574399270826,1.6161362222178608,0.13263707095903643,0.32923911009440454,15.0,10.0,1,1,0,5.0
ALB_2019_Australia,0.011022556712997898,0.8391476538438897,0.795822425754221,0.5636031643694195,13.0,14.0,0,1,0,-1.0
MAG_2019_Australia,0.3546824473628425,-0.7148294829040526,-0.530548283836148,-1.1647721301074752,7.0,6.0,1,1,1,1.0
STR_2019_Australia,-0.21652065515840027,1.4607385085430666,-1.1937336386313326,0.08560595820774611,16.0,9.0,1,1,0,7.0
LEC_2019_Australia,0.9058458283606827,-1.6472157649528179,1.4590077805494055,0.35558319416475936,5.0,5.0,1,1,1,0.0
PER_2019_Australia,-0.15554873907536332,0.37295451281950703,-1.1937336386313326,-0.1876381168764648,10.0,13.0,0,1,0,-3.0
GAS_2019_Australia,0.08543956141507361,0.06215908546991857,0.13263707095903643,-0.05158746938291134,17.0,11.0,0,1,0,6.0
GRO_2019_Australia,0.3148304065386672,0.2175567991447128,-0.530548283836148,-0.868500943769538,6.0,18.0,0,0,0,-12.0
RAI_2019_Australia,-0.07965362674822643,0.6837499401690955,0.795822425754221,1.400556103526052,9.0,8.0,1,1,0,1.0
VET_2019_Australia,1.121024105348501,-1.3364203376032295,1.4590077805494055,-0.2818150689946955,3.0,4.0,1,1,1,-1.0
NOR_2019_Australia,-0.4030179705060951,-0.24863634187966988,0.13263707095903643,1.232854631455762,8.0,12.0,0,1,0,-4.0
KUB_2019_Australia,-2.7173925194482247,0.5283522264943012,0.795822425754221,-0.5811671789216193,20.0,17.0,0,0,0,3.0
