,pace_lap,num_laps,num_stints,overall_speed,pace_s1,pace_s2,pace_s3,soft_fastest_lap,medium_fastest_lap,GridPosition_std,GridPosition,Position_std,Position,points finish?,finish?,top six finish?,places made
PER_2019_Australia,-0.140728427,0.372954513,-1.193733639,-0.187638117,0.207591238,-0.253704045,-0.349060172,-0.308708524,-0.304260436,0.084515426,10,-0.422577128,13,0,1,0,-3
GAS_2019_Australia,0.098438557,0.062159085,0.132637071,-0.051587469,0.107724985,-0.25674246,0.198025131,0.301745532,1.339517281,-1.098700532,17,-0.084515426,11,0,1,0,6
GRO_2019_Australia,0.326095735,0.217556799,-0.530548284,-0.868500944,0.024132703,0.444430883,0.380647602,0.616510905,0.092220909,0.76063883,6,-1.267731383,18,0,0,0,-12
RAI_2019_Australia,-0.065406907,0.68374994,0.795822426,1.400556104,0.063144825,0.079236432,-0.117946938,0.177747052,-0.033511501,0.253546277,9,0.422577128,8,1,1,0,1
VET_2019_Australia,1.126196465,-1.336420338,1.459007781,-0.281815069,1.007859508,1.089510359,1.205251279,1.146842865,-0.617434416,1.267731383,3,1.098700532,4,1,1,1,-1
NOR_2019_Australia,-0.38632736,-0.248636342,0.132637071,1.232854631,-0.58230566,-0.215840684,-0.322077408,-0.772272072,-0.36519823,0.422577128,8,-0.253546277,12,0,1,0,-4
KUB_2019_Australia,-2.683210564,0.528352226,0.795822426,-0.581167179,-2.612250356,-2.887311123,-2.381370622,-2.69997152,-2.16787703,-1.605793085,20,-1.098700532,17,0,0,0,3
GIO_2019_Australia,-0.155792731,0.68374994,0.795822426,0.51215276,-0.156744942,0.026765293,-0.256380245,-0.069296074,-0.048167427,-0.591607979,14,-0.76063883,15,0,1,0,-1
VER_2022_Australia,0.531369339,-0.43013241,-0.299239587,-0.491979006,0.242236117,1.186927272,1.107591155,1.126469828,1.498211912,1.436762234,2,-1.267731383,18,0,0,0,-16
SAI_2022_Australia,1.184262882,1.33689803,2.324861409,0.19086653,1.10945581,1.016448542,1.282464692,0.927749796,1.345840745,0.253546277,9,-1.605793085,20,0,0,0,-11
MSC_2022_Australia,-1.203902537,-1.75540524,0.575460745,-0.265361086,-1.107062477,-1.569491425,-1.101520517,-0.781502243,-0.363405235,-0.76063883,15,-0.422577128,13,0,1,0,2
HAM_2022_Australia,0.827088032,0.0116252,-1.611290086,-0.131163166,1.331445617,0.530213556,0.081914447,0.252361452,0.202160687,0.929669681,5,1.098700532,4,1,1,1,1
OCO_2022_Australia,-0.065067871,0.89514042,-0.299239587,0.435145015,-0.587345166,0.676973506,0.277251909,0.322497934,-0.582998976,0.422577128,8,0.591607979,7,1,1,0,1
ZHO_2022_Australia,-1.138988169,-0.87189002,0.575460745,0.588233095,-1.914419173,-1.176550305,-0.60889804,-0.968532861,-0.04969989,-0.591607979,14,-0.084515426,11,0,1,0,3
ALB_2022_Australia,-0.897913374,1.557776835,0.138110579,-0.531584339,-0.771542936,-0.324255486,-1.28606791,-1.126989357,-1.240883899,-1.605793085,20,0.084515426,10,1,1,0,10
TSU_2022_Australia,-0.565362652,1.33689803,-1.611290086,-0.936659448,0.005651826,-0.703162993,-0.168200187,0.025067298,-0.584791578,-0.422577128,13,-0.76063883,15,0,1,0,-2
MAG_2022_Australia,-0.936599504,-1.534526435,0.138110579,0.220810463,-0.693347218,-1.202739793,-1.058484263,-1.214010547,0.135834414,-0.929669681,16,-0.591607979,14,0,1,0,2
STR_2022_Australia,-1.28514966,-0.209253605,-0.299239587,-1.257445044,-1.588219621,-0.949245334,-0.828172093,-0.67629752,-0.246886106,-1.436762234,19,-0.253546277,12,0,1,0,7
LEC_2022_Australia,1.083016468,0.232504005,0.575460745,-0.381209058,0.912814321,1.012297756,1.334968096,1.444681643,1.170165752,1.605793085,1,1.605793085,1,1,1,1,0
ALO_2022_Australia,1.356006799,-0.87189002,-0.299239587,1.149435418,1.132192483,1.611196945,0.840195873,1.058930993,0.865423417,0.084515426,10,-1.098700532,17,0,1,0,-7
PER_2022_Australia,1.061017247,-1.092768825,0.575460745,1.723882248,0.804251833,1.276366841,0.532616884,1.071919231,0.936231194,1.267731383,3,1.436762234,2,1,1,1,1
GAS_2022_Australia,-0.122440839,0.674261615,-1.17393992,-0.265788785,0.147756027,-0.666991854,0.19080733,-0.055459774,-1.511566797,-0.084515426,11,0.253546277,9,1,1,0,2
LAT_2022_Australia,-1.8543795,0.232504005,-0.299239587,-0.029737196,-1.369302338,-1.004095012,-2.417164836,-1.246481141,-1.695308499,-1.267731383,18,-0.929669681,16,0,1,0,2
NOR_2022_Australia,0.79760991,-0.87189002,0.138110579,-0.436487272,0.519531342,0.017294943,0.893443419,1.264145144,0.592051616,1.098700532,4,0.929669681,5,1,1,1,-1
RIC_2022_Australia,0.658031519,-0.209253605,-0.299239587,0.044106267,0.513386296,-0.159113482,0.695212067,0.516022671,0.78654893,0.591607979,7,0.76063883,6,1,1,1,1
RUS_2022_Australia,-0.162564418,1.116019225,-0.736589753,0.109440517,0.49802368,-0.561838593,0.035405527,-0.007403295,-0.942415671,0.76063883,6,1.267731383,3,1,1,1,3
BOT_2022_Australia,0.73396633,0.45338281,1.887511243,0.265494846,0.814493576,0.989764915,0.196636448,0.106893194,0.939816398,-0.253546277,12,0.422577128,8,1,1,0,4
RIC_2019_Austria,-0.476808837,-0.780833844,0.223606798,-0.005538104,-0.310242351,-0.319137606,-0.18513716,-0.620408043,-0.326525213,-0.253546277,12,-0.253546277,12,0,1,0,0
BOT_2019_Austria,1.11683626,-1.325601643,-1.565247584,-0.631799697,1.021564958,1.079602619,1.183715766,1.278561763,0.774402709,1.267731383,3,1.267731383,3,1,1,1,0
RUS_2019_Austria,-1.556189664,-0.417655312,0.223606798,0.429223985,-0.804304199,-1.708552895,-1.630345692,-1.590343391,,1.774823936,0,-1.267731383,18,0,1,0,-18
SAI_2019_Austria,0.058780586,1.398237349,0.670820393,1.220421918,0.471244579,-0.19977844,0.047314885,0.112302153,,-1.436762234,19,0.422577128,8,1,1,0,11
HAM_2019_Austria,1.374173444,1.216648083,1.565247584,0.200792938,1.130120682,1.374892222,1.439488242,1.384904072,,1.098700532,4,0.929669681,5,1,1,1,-1
VER_2019_Austria,0.656705071,-2.051958707,-0.223606798,0.473058454,1.024124586,0.734704362,0.837764682,1.015627482,0.685577843,1.436762234,2,1.605793085,1,1,1,1,1
HUL_2019_Austria,-0.278355048,-0.417655312,-0.223606798,-1.315027557,-0.329639546,-0.306704359,-0.334933321,-0.232433904,-0.031276361,-0.76063883,15,-0.422577128,13,0,1,0,2
KVY_2019_Austria,-0.345295182,0.581085652,-0.223606798,0.400085252,-0.112830915,-0.046538678,-0.687359315,-0.088696497,-0.140118099,-0.929669681,16,-1.098700532,17,0,1,0,-1
ALB_2019_Austria,0.081079724,2.033799781,1.565247584,0.702760056,0.631541386,-0.175906607,-1.18385883,-0.19387021,,-1.267731383,18,-0.76063883,15,0,1,0,3
MAG_2019_Austria,-0.930455333,-0.508449945,-1.118033989,-1.38856011,-2.341148512,-0.673174298,-0.196904842,-0.655465947,0.023770035,0.084515426,10,-1.436762234,19,0,1,0,-9
STR_2019_Austria,-0.370285596,0.127112486,-0.670820393,0.343923631,-0.328639687,-0.526772821,-0.29214785,-0.39136307,-0.470396476,-0.591607979,14,-0.591607979,14,0,1,0,0
LEC_2019_Austria,1.654066079,-0.326860679,1.565247584,0.774925222,1.573885044,1.690696681,1.64401219,1.552013415,1.11969374,1.605793085,1,1.436762234,2,1,1,1,-1
PER_2019_Austria,0.013464635,1.12585345,-1.118033989,0.266042238,0.151290874,-0.037151577,-0.159747981,-0.242951276,0.354048412,-0.422577128,13,-0.084515426,11,0,1,0,2
GAS_2019_Austria,0.604212387,-0.417655312,-1.565247584,-0.236865758,0.708330276,0.663586193,0.42928099,0.190598139,-0.037531634,0.422577128,8,0.591607979,7,1,1,0,1
GRO_2019_Austria,-0.618651862,-0.417655312,-0.670820393,-1.041582242,-1.218110998,-0.528016146,-0.186124517,-0.356305166,-0.40409059,-0.084515426,11,-0.929669681,16,0,1,0,-5
RAI_2019_Austria,-0.212568317,-0.417655312,-0.223606798,-1.296813677,-0.251650829,0.029407737,-0.509366388,-0.232433904,-0.417852189,0.76063883,6,0.253546277,9,1,1,0,-3
VET_2019_Austria,1.357000544,-0.690039211,1.565247584,1.107428446,0.426851002,1.318942613,1.384478352,1.244672456,1.318611398,0.253546277,9,1.098700532,4,1,1,1,5
NOR_2019_Austria,0.485967147,1.035058817,0.223606798,-0.096284163,0.400854766,0.478247933,0.494916722,0.384585208,0.741875293,0.929669681,5,0.76063883,6,1,1,1,-1
KUB_2019_Austria,-2.436444594,0.581085652,-0.223606798,0.392259379,-1.912943796,-2.393935605,-2.155901713,-2.534569608,-3.09260662,-1.098700532,17,-1.605793085,20,0,0,0,-3
GIO_2019_Austria,-0.177231445,-0.326860679,0.223606798,-0.298450211,0.069702679,-0.454411327,0.060855781,-0.024423673,-0.097582248,0.591607979,7,0.084515426,10,1,1,0,-3
RIC_2020_Austria,0.807288972,-1.640968436,-0.419805162,0.798275732,1.401382163,0.399491137,0.872303611,0.193969677,0.456047566,0.084515426,10,-1.436762234,19,0,0,0,-9
RUS_2020_Austria,-1.706973,-0.535351405,0.111948043,-0.001230013,-1.788359519,-1.642631408,-1.36025405,-0.756642046,-1.757864391,-1.098700532,17,-0.76063883,15,0,0,0,2
SAI_2020_Austria,-0.12795393,1.012512439,1.175454455,0.955618761,0.067585953,-0.187205315,-0.308162789,-0.134656635,0.327970015,0.422577128,8,0.929669681,5,1,1,1,3
HAM_2020_Austria,1.202700788,1.123074142,1.441331057,0.503377717,1.388033304,1.067318774,1.790806747,1.543742141,1.773416665,0.929669681,5,1.098700532,4,1,1,1,1
